CURRENCY,BASE,VALID_FROM,VALID_TO,RATE
TRY,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,41.0387
PEN,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,3.9620
HRK,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,7.5345
ALL,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,99.4950
USD,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,1.0797
CHF,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,0.9525
HUF,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,403.1300
BRL,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,6.2252
RON,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,4.9774
DKK,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,7.4616
CLP,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,1029.7450
GBP,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,0.8336
NOK,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,11.2940
RSD,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,117.1300
BGN,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,1.9558
MKD,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,61.5000
SEK,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,10.8200
BAM,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,1.9608
RUB,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,117.2010
CAD,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,1.5444
MXN,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,21.9676
PLN,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,4.1775
INR,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,92.3460
CZK,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,24.9600
UAH,EUR,2025-03-30 00:00:01.000 +0100,2025-03-31 00:00:01.000 +0200,44.9038
GBP,EUR,2025-03-29 00:00:01.000 +0100,2025-03-30 00:00:01.000 +0100,0.8336
MKD,EUR,2025-03-29 00:00:01.000 +0100,2025-03-30 00:00:01.000 +0100,61.4700
USD,EUR,2025-03-29 00:00:01.000 +0100,2025-03-30 00:00:01.000 +0100,1.0797
