SEGMENTS_DATE,CUSTOMER_ID,CUSTOMER_DESCRIPTIVE_NAME,CAMPAIGN_ID,CAMPAIGN_NAME,LAST_EXTRACTED_AT,METRICS_COST_MICROS
2025-01-11,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,c6066bb08e5e24546d891865cfa6d4e6ad4c8a10f59b6ff3a19ed2b0b6227f8d,ae5e6206ffb674bfe6959059d1ec0bd509efd029ed57fd9e84fe0cae14680dc4,2025-01-13 02:00:00.000,54043470
2025-01-15,35d2da356bafc486fe6a3f81cd893c5cbf9df2914574ef51e53950b581eb0a2c,58c78f7642a6427a5ca9bea28a620d81f85c57e60a4e245e238ab73116030102,f5a61ec3e6bf7aae72961d7c84af86faa3717b7a4c988da923131f016f4e4b15,6c305a96faa44495aa0695a0fc98be1b82ba047d801a48cffee9aa40682eaec4,2025-01-17 02:00:00.000,324246614
2025-01-25,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,ad9576cf783165e91d2782a22eddd3afb0e43022f94b585052241d1114f8e551,b21cb9073a097ae73375d2a044cd3002b7b16b9982ef694efb989d577d51c74b,2025-01-27 02:00:00.000,1597883
2025-01-25,607cb5a07e89f5d2783fd1a21b5a8572fe725a127ce35d07a954759b979b653e,e69f7c473b0ec3104e71574ca3d4f8d6d5a1a4d594d564788e31ab56e8caee8b,56055e802fb6ba6417027f0f86b5f48af42d72d91211e5737ed8fa9ab7aaf208,1ef3dad2510db77b5ed3e8ca195961b1a1afa84257006fda4020337bffb2880f,2025-01-27 02:00:00.000,288293480
2025-01-13,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,b66615ea4788cf5cd62356e2821eb98a8eecd1e21065a0dd2a2721f61cae77a0,1153ab346ca6cbac8df654068af7c4c0088d1e4a094c454fd9982840c043baee,2025-01-15 02:00:00.000,31920112
2025-01-23,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,8abccd2ca76867b3fb637ff74d94a4260fd67208d1a7e7807a26dd8eb685715e,d2ae478ed548e374c5e092a81ac459ddb1e59bcec91f6422c04c4ef19afabcaa,2025-01-25 02:00:00.000,366647446
2025-01-17,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,45bfc8d2118c16280e685871b0d79bba7589ec8f7b4b2183acd6c7ce957d8bc6,c263870fe11c3c1cb4cc977545f98d99ba5bea788572ee058b2c102a78f89f4c,2025-01-19 02:00:00.000,403610208
2025-01-24,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,87e6de84decc0f8b52046ab0ae097366274be1e4676dcb976bfc1bc6f4601bd9,2d62478ec1a722e604a038b0b074f88c6c2000ad6f51c6fd654fef4593edbf4c,2025-01-26 02:00:00.000,23020178
2025-01-10,35d2da356bafc486fe6a3f81cd893c5cbf9df2914574ef51e53950b581eb0a2c,58c78f7642a6427a5ca9bea28a620d81f85c57e60a4e245e238ab73116030102,7bb32b88ae59ebd5d516bd0848b8950f59fe8c482f3f2f9f6ad62121572a018f,293afe31929ade352ba97cf7d8482e0dc0a9d35d73344b0f55548e857549ccbb,2025-01-12 02:00:00.000,360041224
2025-01-05,607cb5a07e89f5d2783fd1a21b5a8572fe725a127ce35d07a954759b979b653e,e69f7c473b0ec3104e71574ca3d4f8d6d5a1a4d594d564788e31ab56e8caee8b,267defe061c7e7369e925c0a26548b922accfea0ba8f485742e03b489c1b71fd,f260a29f9d507919e49aa0b208ef1f14d959a8d193a6e66c2399aef8616e1720,2025-01-07 02:00:00.000,2210884
2025-01-22,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,c6066bb08e5e24546d891865cfa6d4e6ad4c8a10f59b6ff3a19ed2b0b6227f8d,ae5e6206ffb674bfe6959059d1ec0bd509efd029ed57fd9e84fe0cae14680dc4,2025-01-24 02:00:00.000,4873847
2025-01-22,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,a3cd0d2a4ee095837325a244d2aa8b47d2eaa329fe22c98b52de619ee7ed29b3,a5e3867e05bf5890ab4aae3bd83c13f76dc5be731e51af60341e06f19094ae73,2025-01-24 02:00:00.000,493092824
2025-01-04,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,90dba4e4a379095347449f13bf95c09ee10c969584bbe641ba3646e36d30262f,b86c152622fa44e6d8948b4c6f8a9c23e0023999ab7e2eb84f2fd742c8b82da1,2025-01-06 02:00:00.000,21092861
2025-01-04,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,e3f471d76ca5a88260e845da0eb0fa14afbfc4904d8e58bd631944cda8509586,7649fda096764b99f5dc64214c5d3d8c7770651f591321e57d29e62232aa4794,2025-01-06 02:00:00.000,4945074
2025-01-18,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,a6301a1a4ab916f0dc281a7dff097c4c9941c699db018280f6373eefe4be59be,ee39465f92cbf29a443ee484c7037fae3c0984c4b41ad1fa82c35767ea256240,2025-01-20 02:00:00.000,66522142
2025-01-08,471a02e3f921d7db76921ae5f20300e1d182bb816986ee83b4f3e3dcfac63454,5c14ed095307b6e4b2630d52a404a0cca4cd0591c77eb788634de14d288f1ebe,1e6663d37bdcae75c244e9ecde51ccf359a85a18c6440787671b939a4498d370,ca0f0e96a577e1b5088e4b7e90d42271b6a66e68d42dbb065a7ef3d357225baa,2025-01-10 02:00:00.000,7175929
