            segments_date domain     brand channel_type total_spend_eur currency
2025-01-01 00:00:00+00:00     br   FlixBus     nonbrand      2852184390      BRL
2025-01-01 00:00:00+00:00     de FlixTrain        mixed      3570780802      EUR
2025-01-01 00:00:00+00:00     hu   FlixBus     nonbrand      2872189707      EUR
2025-01-02 00:00:00+00:00     br   FlixBus     nonbrand      3438764030      BRL
2025-01-02 00:00:00+00:00     de FlixTrain        mixed      4282887274      EUR
2025-01-02 00:00:00+00:00     hu   FlixBus     nonbrand      2835266995      EUR
2025-01-03 00:00:00+00:00     br   FlixBus     nonbrand      3192565445      BRL
2025-01-03 00:00:00+00:00     de FlixTrain        mixed      5729608783      EUR
2025-01-03 00:00:00+00:00     hu   FlixBus     nonbrand      2160833007      EUR
2025-01-04 00:00:00+00:00     br   FlixBus     nonbrand      3118772737      BRL
2025-01-04 00:00:00+00:00     de FlixTrain        mixed      6001786703      EUR
2025-01-04 00:00:00+00:00     hu   FlixBus     nonbrand      2319692577      EUR
2025-01-05 00:00:00+00:00     br   FlixBus     nonbrand      3268205171      BRL
2025-01-05 00:00:00+00:00     de FlixTrain        mixed      6924065046      EUR
2025-01-05 00:00:00+00:00     hu   FlixBus     nonbrand      2606216886      EUR
2025-01-06 00:00:00+00:00     br   FlixBus     nonbrand      3279784782      BRL
2025-01-06 00:00:00+00:00     de FlixTrain        mixed      6360010331      EUR
2025-01-06 00:00:00+00:00     hu   FlixBus     nonbrand      2275602453      EUR
2025-01-07 00:00:00+00:00     br   FlixBus     nonbrand      3191623699      BRL
2025-01-07 00:00:00+00:00     de FlixTrain        mixed      6333416066      EUR
2025-01-07 00:00:00+00:00     hu   FlixBus     nonbrand      2341932579      EUR
2025-01-08 00:00:00+00:00     br   FlixBus     nonbrand      2807622305      BRL
2025-01-08 00:00:00+00:00     de FlixTrain        mixed      6675728580      EUR
2025-01-08 00:00:00+00:00     hu   FlixBus     nonbrand      2326532667      EUR
2025-01-09 00:00:00+00:00     br   FlixBus     nonbrand      2470219387      BRL
2025-01-09 00:00:00+00:00     de FlixTrain        mixed      6345860673      EUR
2025-01-09 00:00:00+00:00     hu   FlixBus     nonbrand      2729811442      EUR
2025-01-10 00:00:00+00:00     br   FlixBus     nonbrand      2472791999      BRL
2025-01-10 00:00:00+00:00     de FlixTrain        mixed      6462745959      EUR
2025-01-10 00:00:00+00:00     hu   FlixBus     nonbrand      2078343659      EUR
2025-01-11 00:00:00+00:00     br   FlixBus     nonbrand      2240423402      BRL
2025-01-11 00:00:00+00:00     de FlixTrain        mixed      6079152087      EUR
2025-01-11 00:00:00+00:00     hu   FlixBus     nonbrand      2200499236      EUR
2025-01-12 00:00:00+00:00     br   FlixBus     nonbrand      2262897257      BRL
2025-01-12 00:00:00+00:00     de FlixTrain        mixed      7147904609      EUR
2025-01-12 00:00:00+00:00     hu   FlixBus     nonbrand      2537810910      EUR
2025-01-13 00:00:00+00:00     br   FlixBus     nonbrand      2520993691      BRL
2025-01-13 00:00:00+00:00     de FlixTrain        mixed      6329612884      EUR
2025-01-13 00:00:00+00:00     hu   FlixBus     nonbrand      2289445056      EUR
2025-01-14 00:00:00+00:00     br   FlixBus     nonbrand      2352876386      BRL
2025-01-14 00:00:00+00:00     de FlixTrain        mixed      6301679850      EUR
2025-01-14 00:00:00+00:00     hu   FlixBus     nonbrand      2426959953      EUR
2025-01-15 00:00:00+00:00     br   FlixBus     nonbrand      2470705028      BRL
2025-01-15 00:00:00+00:00     de FlixTrain        mixed      6466322513      EUR
2025-01-15 00:00:00+00:00     hu   FlixBus     nonbrand      2580992661      EUR
2025-01-16 00:00:00+00:00     br   FlixBus     nonbrand      2351243854      BRL
2025-01-16 00:00:00+00:00     de FlixTrain        mixed      5969040003      EUR
2025-01-16 00:00:00+00:00     hu   FlixBus     nonbrand      2800819643      EUR
2025-01-17 00:00:00+00:00     br   FlixBus     nonbrand      2256362592      BRL
2025-01-17 00:00:00+00:00     de FlixTrain        mixed      5476180453      EUR
2025-01-17 00:00:00+00:00     hu   FlixBus     nonbrand      2729427849      EUR
2025-01-18 00:00:00+00:00     br   FlixBus     nonbrand      2044302339      BRL
2025-01-18 00:00:00+00:00     de FlixTrain        mixed      5621965257      EUR
2025-01-18 00:00:00+00:00     hu   FlixBus     nonbrand      2853268205      EUR
2025-01-19 00:00:00+00:00     br   FlixBus     nonbrand      2088425802      BRL
2025-01-19 00:00:00+00:00     de FlixTrain        mixed      6648401718      EUR
2025-01-19 00:00:00+00:00     hu   FlixBus     nonbrand      2778680037      EUR
2025-01-20 00:00:00+00:00     br   FlixBus     nonbrand      2338387967      BRL
