            segments_date domain     brand channel_type  total_spend_eur  total_metrics_cost   rate currency
2025-01-01 00:00:00+00:00     br   FlixBus     nonbrand     2.852184e+09         18326140362 6.4253      BRL
2025-01-01 00:00:00+00:00     de FlixTrain        mixed     3.570781e+09          3570780802 1.0000      EUR
2025-01-01 00:00:00+00:00     hu   FlixBus     nonbrand     2.872190e+09          2872189707 1.0000      EUR
2025-01-02 00:00:00+00:00     br   FlixBus     nonbrand     3.438764e+09         22095090523 6.4253      BRL
2025-01-02 00:00:00+00:00     de FlixTrain        mixed     4.282887e+09          4282887274 1.0000      EUR
2025-01-02 00:00:00+00:00     hu   FlixBus     nonbrand     2.835267e+09          2835266995 1.0000      EUR
2025-01-03 00:00:00+00:00     br   FlixBus     nonbrand     3.192565e+09         20496270157 6.4200      BRL
2025-01-03 00:00:00+00:00     de FlixTrain        mixed     5.729609e+09          5729608783 1.0000      EUR
2025-01-03 00:00:00+00:00     hu   FlixBus     nonbrand     2.160833e+09          2160833007 1.0000      EUR
2025-01-04 00:00:00+00:00     br   FlixBus     nonbrand     3.118773e+09         19797345581 6.3478      BRL
2025-01-04 00:00:00+00:00     de FlixTrain        mixed     6.001787e+09          6001786703 1.0000      EUR
2025-01-04 00:00:00+00:00     hu   FlixBus     nonbrand     2.319693e+09          2319692577 1.0000      EUR
2025-01-05 00:00:00+00:00     br   FlixBus     nonbrand     3.268205e+09         20745912786 6.3478      BRL
2025-01-05 00:00:00+00:00     de FlixTrain        mixed     6.924065e+09          6924065046 1.0000      EUR
2025-01-05 00:00:00+00:00     hu   FlixBus     nonbrand     2.606217e+09          2606216886 1.0000      EUR
2025-01-06 00:00:00+00:00     br   FlixBus     nonbrand     3.279785e+09         20819417838 6.3478      BRL
2025-01-06 00:00:00+00:00     de FlixTrain        mixed     6.360010e+09          6360010331 1.0000      EUR
2025-01-06 00:00:00+00:00     hu   FlixBus     nonbrand     2.275602e+09          2275602453 1.0000      EUR
2025-01-07 00:00:00+00:00     br   FlixBus     nonbrand     3.191624e+09         20314365684 6.3649      BRL
2025-01-07 00:00:00+00:00     de FlixTrain        mixed     6.333416e+09          6333416066 1.0000      EUR
2025-01-07 00:00:00+00:00     hu   FlixBus     nonbrand     2.341933e+09          2341932579 1.0000      EUR
2025-01-08 00:00:00+00:00     br   FlixBus     nonbrand     2.807622e+09         17725642663 6.3134      BRL
2025-01-08 00:00:00+00:00     de FlixTrain        mixed     6.675729e+09          6675728580 1.0000      EUR
2025-01-08 00:00:00+00:00     hu   FlixBus     nonbrand     2.326533e+09          2326532667 1.0000      EUR
2025-01-09 00:00:00+00:00     br   FlixBus     nonbrand     2.470219e+09         15580908781 6.3075      BRL
2025-01-09 00:00:00+00:00     de FlixTrain        mixed     6.345861e+09          6345860673 1.0000      EUR
2025-01-09 00:00:00+00:00     hu   FlixBus     nonbrand     2.729811e+09          2729811442 1.0000      EUR
2025-01-10 00:00:00+00:00     br   FlixBus     nonbrand     2.472792e+09         15576364083 6.2991      BRL
2025-01-10 00:00:00+00:00     de FlixTrain        mixed     6.462746e+09          6462745959 1.0000      EUR
2025-01-10 00:00:00+00:00     hu   FlixBus     nonbrand     2.078344e+09          2078343659 1.0000      EUR
2025-01-11 00:00:00+00:00     br   FlixBus     nonbrand     2.240423e+09         13979569903 6.2397      BRL
2025-01-11 00:00:00+00:00     de FlixTrain        mixed     6.079152e+09          6079152087 1.0000      EUR
2025-01-11 00:00:00+00:00     hu   FlixBus     nonbrand     2.200499e+09          2200499236 1.0000      EUR
2025-01-12 00:00:00+00:00     br   FlixBus     nonbrand     2.262897e+09         14119800013 6.2397      BRL
2025-01-12 00:00:00+00:00     de FlixTrain        mixed     7.147905e+09          7147904609 1.0000      EUR
2025-01-12 00:00:00+00:00     hu   FlixBus     nonbrand     2.537811e+09          2537810910 1.0000      EUR
2025-01-13 00:00:00+00:00     br   FlixBus     nonbrand     2.520994e+09         15730244334 6.2397      BRL
2025-01-13 00:00:00+00:00     de FlixTrain        mixed     6.329613e+09          6329612884 1.0000      EUR
2025-01-13 00:00:00+00:00     hu   FlixBus     nonbrand     2.289445e+09          2289445056 1.0000      EUR
2025-01-14 00:00:00+00:00     br   FlixBus     nonbrand     2.352876e+09         14613479945 6.2109      BRL
2025-01-14 00:00:00+00:00     de FlixTrain        mixed     6.301680e+09          6301679850 1.0000      EUR
2025-01-14 00:00:00+00:00     hu   FlixBus     nonbrand     2.426960e+09          2426959953 1.0000      EUR
2025-01-15 00:00:00+00:00     br   FlixBus     nonbrand     2.470705e+09         15392245252 6.2299      BRL
2025-01-15 00:00:00+00:00     de FlixTrain        mixed     6.466323e+09          6466322513 1.0000      EUR
2025-01-15 00:00:00+00:00     hu   FlixBus     nonbrand     2.580993e+09          2580992661 1.0000      EUR
2025-01-16 00:00:00+00:00     br   FlixBus     nonbrand     2.351244e+09         14666353789 6.2377      BRL
2025-01-16 00:00:00+00:00     de FlixTrain        mixed     5.969040e+09          5969040003 1.0000      EUR
2025-01-16 00:00:00+00:00     hu   FlixBus     nonbrand     2.800820e+09          2800819643 1.0000      EUR
2025-01-17 00:00:00+00:00     br   FlixBus     nonbrand     2.256363e+09         13985837888 6.1984      BRL
2025-01-17 00:00:00+00:00     de FlixTrain        mixed     5.476180e+09          5476180453 1.0000      EUR
2025-01-17 00:00:00+00:00     hu   FlixBus     nonbrand     2.729428e+09          2729427849 1.0000      EUR
2025-01-18 00:00:00+00:00     br   FlixBus     nonbrand     2.044302e+09         12780569364 6.2518      BRL
2025-01-18 00:00:00+00:00     de FlixTrain        mixed     5.621965e+09          5621965257 1.0000      EUR
2025-01-18 00:00:00+00:00     hu   FlixBus     nonbrand     2.853268e+09          2853268205 1.0000      EUR
2025-01-19 00:00:00+00:00     br   FlixBus     nonbrand     2.088426e+09         13056420428 6.2518      BRL
2025-01-19 00:00:00+00:00     de FlixTrain        mixed     6.648402e+09          6648401718 1.0000      EUR
2025-01-19 00:00:00+00:00     hu   FlixBus     nonbrand     2.778680e+09          2778680037 1.0000      EUR
2025-01-20 00:00:00+00:00     br   FlixBus     nonbrand     2.338388e+09         14619133893 6.2518      BRL
2025-01-20 00:00:00+00:00     de FlixTrain        mixed     6.350278e+09          6350277955 1.0000      EUR
2025-01-20 00:00:00+00:00     hu   FlixBus     nonbrand     2.800388e+09          2800387946 1.0000      EUR
2025-01-21 00:00:00+00:00     br   FlixBus     nonbrand     2.294340e+09         14382758690 6.2688      BRL
2025-01-21 00:00:00+00:00     de FlixTrain        mixed     5.700239e+09          5700238831 1.0000      EUR
2025-01-21 00:00:00+00:00     hu   FlixBus     nonbrand     2.736229e+09          2736228833 1.0000      EUR
2025-01-22 00:00:00+00:00     br   FlixBus     nonbrand     2.580536e+09         16176092511 6.2685      BRL
2025-01-22 00:00:00+00:00     de FlixTrain        mixed     5.293412e+09          5293411751 1.0000      EUR
2025-01-22 00:00:00+00:00     hu   FlixBus     nonbrand     2.729555e+09          2729554919 1.0000      EUR
2025-01-23 00:00:00+00:00     br   FlixBus     nonbrand     2.589338e+09         16244988448 6.2738      BRL
2025-01-23 00:00:00+00:00     de FlixTrain        mixed     5.514380e+09          5514379734 1.0000      EUR
2025-01-23 00:00:00+00:00     hu   FlixBus     nonbrand     2.619199e+09          2619199387 1.0000      EUR
